1,191,119,0,0,1.1111,1.2939,0.9444,0.7722,39.8519,36.2222,48.2222,35.1111,-10.8889,25.1111,-14.2222,48.2222,0.2717,-2.006
2,140,125,0,0,0.2778,0.063,0.6667,0.3111,6.1852,7.3333,7.6667,3.5556,3.4444,4.4444,-7.8889,7.7778,0.5456,-1.1218
3,204,156,0,0,0.5,0.2789,2,0.5578,23.7037,17.3333,25.4444,28.3333,-19.1111,5.2222,13.8889,28.3333,0.389,2.8649
4,101,121,0.1111,0,0.6667,0.8433,1.5,0.8882,3.4074,1.1111,6,3.1111,-6.8889,7.7778,-0.8889,6,0.8435,-2.5192
5,140,25,0,0,1,1.4667,1.1111,0.1185,128,117.7778,142.3333,123.8889,-30.6667,43,-12.3333,142.3333,0.1725,-2.3546
6,86,197,0.1111,0.1111,1.6111,1.4517,1.2778,1.1039,63.2222,56.2222,77.7778,55.6667,-21,43.6667,-22.6667,77.7778,0.2853,-2.068
7,189,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,219,80,0,0,1.2778,0.3296,0.6667,0.9333,39.7037,36.3333,48.2222,34.5556,-10.1111,25.5556,-15.4444,48.2222,0.283,-1.9626
2,188,133,0,0,0.3333,0.2667,0.5,0.0778,6.6667,8.3333,7.7778,3.8889,5,3.3333,-8.3333,8.4444,0.5386,-0.9248
3,71,180,0.1111,0,1.2222,0.563,3,1.8667,22.3333,18.3333,21.4444,27.2222,-12,-2.6667,14.6667,27.2222,0.3274,2.4538
4,21,122,0,0,0.4444,0.4037,0.4444,0.4037,0.5556,0,1.2222,0.4444,-1.6667,2,-0.3333,1.2222,0.5556,-2.4446
5,142,33,0,0,0.5,0.6236,0.5,0.3496,110.5926,96.7778,128.6667,106.3333,-41.4444,54.2222,-12.7778,128.6667,0.2478,-2.408
6,4,189,0,0,2.0556,3.8852,11.7222,114.5963,26.4444,23.4444,33,22.8889,-9,19.6667,-10.6667,33,0.2715,-2.101
7,189,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,136,45,0,0,1.2222,1.5444,2.0556,1.5263,53.0741,48.1111,63.7778,47.3333,-14.8889,32.1111,-17.2222,63.7778,0.2594,-2.0459
2,105,139,0,0,0.2778,0.1074,0.8333,0.5222,6.1111,7.5556,7.2222,3.5556,4.3333,3.3333,-7.6667,7.5556,0.5326,-0.9659
3,60,181,0.1111,0,1.6667,1.2,2.6667,2.0889,19.6296,17.1111,17.8889,23.8889,-7.5556,-5.2222,12.7778,23.8889,0.2857,2.1891
4,45,89,0,0,0.7778,0.3407,0.7778,0.4741,2.2963,0.1111,6.4444,0.3333,-6.5556,12.4444,-5.8889,6.4444,0.9861,-2.1239
5,66,41,0,0,0.6111,0.3277,0.3889,0.3277,109.7037,95.1111,128.8889,105.1111,-43.7778,57.5556,-13.7778,128.8889,0.262,-2.4047
